src,dst
27,0
60,0
179,0
8,1
49,1
178,1
38,2
91,2
177,2
6,3
50,3
105,3
106,3
255,3
5,4
59,4
92,4
93,4
253,4
4,5
28,5
92,5
94,5
254,5
3,6
37,6
104,6
105,6
252,6
71,7
72,7
176,7
1,8
9,8
127,8
178,8
8,9
10,9
127,9
128,9
9,10
11,10
128,10
129,10
10,11
12,11
129,11
130,11
11,12
13,12
130,12
131,12
12,13
14,13
131,13
132,13
13,14
15,14
132,14
133,14
14,15
16,15
133,15
134,15
15,16
17,16
134,16
135,16
16,17
18,17
135,17
136,17
17,18
19,18
136,18
137,18
18,19
20,19
137,19
138,19
19,20
21,20
138,20
139,20
20,21
22,21
139,21
140,21
21,22
23,22
140,22
141,22
22,23
24,23
141,23
142,23
23,24
25,24
142,24
143,24
24,25
26,25
143,25
144,25
25,26
27,26
144,26
145,26
0,27
26,27
145,27
179,27
5,28
29,28
94,28
95,28
28,29
30,29
95,29
96,29
29,30
31,30
96,30
97,30
30,31
32,31
97,31
98,31
31,32
33,32
98,32
99,32
32,33
34,33
99,33
100,33
33,34
35,34
100,34
101,34
34,35
36,35
101,35
102,35
35,36
37,36
102,36
103,36
6,37
36,37
103,37
104,37
2,38
39,38
116,38
177,38
38,39
40,39
116,39
117,39
39,40
41,40
117,40
118,40
40,41
42,41
118,41
119,41
41,42
43,42
119,42
120,42
42,43
44,43
120,43
121,43
43,44
45,44
121,44
122,44
44,45
46,45
122,45
123,45
45,46
47,46
123,46
124,46
46,47
48,47
124,47
125,47
47,48
49,48
125,48
126,48
1,49
48,49
126,49
178,49
3,50
51,50
106,50
107,50
50,51
52,51
107,51
108,51
51,52
53,52
108,52
109,52
52,53
54,53
109,53
110,53
53,54
55,54
110,54
111,54
54,55
56,55
111,55
112,55
55,56
57,56
112,56
113,56
56,57
58,57
113,57
114,57
57,58
59,58
114,58
115,58
4,59
58,59
93,59
115,59
0,60
61,60
146,60
179,60
60,61
62,61
146,61
147,61
61,62
63,62
147,62
148,62
62,63
64,63
148,63
149,63
63,64
65,64
149,64
150,64
64,65
66,65
150,65
151,65
65,66
67,66
151,66
152,66
66,67
68,67
152,67
153,67
67,68
69,68
153,68
154,68
68,69
70,69
154,69
155,69
69,70
71,70
155,70
156,70
7,71
70,71
156,71
176,71
7,72
73,72
157,72
176,72
72,73
74,73
157,73
158,73
73,74
75,74
158,74
159,74
74,75
76,75
159,75
160,75
75,76
77,76
160,76
161,76
76,77
78,77
161,77
162,77
77,78
79,78
162,78
163,78
78,79
80,79
163,79
164,79
79,80
81,80
164,80
165,80
80,81
82,81
165,81
166,81
81,82
83,82
166,82
167,82
82,83
84,83
167,83
168,83
83,84
85,84
168,84
169,84
84,85
86,85
169,85
170,85
85,86
87,86
170,86
171,86
86,87
88,87
171,87
172,87
87,88
89,88
172,88
173,88
88,89
90,89
173,89
174,89
89,90
91,90
174,90
175,90
2,91
90,91
175,91
177,91
4,92
5,92
253,92
254,92
256,92
344,92
4,93
59,93
115,93
180,93
253,93
323,93
5,94
28,94
95,94
181,94
254,94
322,94
28,95
29,95
94,95
96,95
181,95
182,95
29,96
30,96
95,96
97,96
182,96
183,96
30,97
31,97
96,97
98,97
183,97
184,97
31,98
32,98
97,98
99,98
184,98
185,98
32,99
33,99
98,99
100,99
185,99
186,99
33,100
34,100
99,100
101,100
186,100
187,100
34,101
35,101
100,101
102,101
187,101
188,101
35,102
36,102
101,102
103,102
188,102
189,102
36,103
37,103
102,103
104,103
189,103
190,103
6,104
37,104
103,104
190,104
252,104
320,104
3,105
6,105
252,105
255,105
257,105
345,105
3,106
50,106
107,106
191,106
255,106
321,106
50,107
51,107
106,107
108,107
191,107
192,107
51,108
52,108
107,108
109,108
192,108
193,108
52,109
53,109
108,109
110,109
193,109
194,109
53,110
54,110
109,110
111,110
194,110
195,110
54,111
55,111
110,111
112,111
195,111
196,111
55,112
56,112
111,112
113,112
196,112
197,112
56,113
57,113
112,113
114,113
197,113
198,113
57,114
58,114
113,114
115,114
198,114
199,114
58,115
59,115
93,115
114,115
180,115
199,115
38,116
39,116
117,116
175,116
177,116
249,116
39,117
40,117
116,117
118,117
200,117
249,117
40,118
41,118
117,118
119,118
200,118
201,118
41,119
42,119
118,119
120,119
201,119
202,119
42,120
43,120
119,120
121,120
202,120
203,120
43,121
44,121
120,121
122,121
203,121
204,121
44,122
45,122
121,122
123,122
204,122
205,122
45,123
46,123
122,123
124,123
205,123
206,123
46,124
47,124
123,124
125,124
206,124
207,124
47,125
48,125
124,125
126,125
207,125
250,125
48,126
49,126
125,126
127,126
178,126
250,126
8,127
9,127
126,127
128,127
178,127
250,127
9,128
10,128
127,128
129,128
208,128
250,128
10,129
11,129
128,129
130,129
208,129
209,129
11,130
12,130
129,130
131,130
209,130
210,130
12,131
13,131
130,131
132,131
210,131
211,131
13,132
14,132
131,132
133,132
211,132
212,132
14,133
15,133
132,133
134,133
212,133
213,133
15,134
16,134
133,134
135,134
213,134
214,134
16,135
17,135
134,135
136,135
214,135
215,135
17,136
18,136
135,136
137,136
215,136
216,136
18,137
19,137
136,137
138,137
216,137
217,137
19,138
20,138
137,138
139,138
217,138
218,138
20,139
21,139
138,139
140,139
218,139
219,139
21,140
22,140
139,140
141,140
219,140
220,140
22,141
23,141
140,141
142,141
220,141
221,141
23,142
24,142
141,142
143,142
221,142
222,142
24,143
25,143
142,143
144,143
222,143
223,143
25,144
26,144
143,144
145,144
223,144
248,144
26,145
27,145
144,145
146,145
179,145
248,145
60,146
61,146
145,146
147,146
179,146
248,146
61,147
62,147
146,147
148,147
224,147
248,147
62,148
63,148
147,148
149,148
224,148
225,148
63,149
64,149
148,149
150,149
225,149
226,149
64,150
65,150
149,150
151,150
226,150
227,150
65,151
66,151
150,151
152,151
227,151
228,151
66,152
67,152
151,152
153,152
228,152
229,152
67,153
68,153
152,153
154,153
229,153
230,153
68,154
69,154
153,154
155,154
230,154
231,154
69,155
70,155
154,155
156,155
231,155
251,155
70,156
71,156
155,156
157,156
176,156
251,156
72,157
73,157
156,157
158,157
176,157
251,157
73,158
74,158
157,158
159,158
232,158
251,158
74,159
75,159
158,159
160,159
232,159
